elapsed_s	cpu_pct	disk_read_bps
1.4	10.7	1,521,485
2.9	9.9	465,847
4.4	9.3	0
6	14.2	1,140,038,518
14.3	9.0	359,718,893
15.8	7.1	566,997,407
17.3	10.6	546,350,031
18.8	9.6	568,114,835
20.4	8.8	562,798,103
21.9	9.6	564,436,089
23.4	14.9	530,421,243
24.9	14.6	372,688,039
26.4	12.5	453,982,500
27.9	22.7	479,290,390
29.4	22.4	207,960,510
30.9	14.6	176,649,540
32.5	10.7	206,566,016
34.1	6.5	238,920,702
35.6	5.3	470,519,677
37.1	12.1	247,191,052
38.6	19.7	277,419,376
40.1	24.1	435,338,902
41.7	12.8	174,179,254
43.2	13.8	280,663,978
44.7	11.0	431,845,207
46.2	7.3	9,507,086
47.7	2.0	95,779,854
49.5	2.0	30,278,883
51.1	5.2	276,128,449
52.6	9.9	527,051,341
54.1	12.3	509,501,213
55.7	21.8	162,755,216
57.2	11.3	427,349,923
58.7	11.7	394,974,188
60.2	13.9	478,702,176
61.7	19.3	603,533,698
63.2	4.3	29,506,346
64.8	11.0	84,750,067
66.3	21.6	400,090,459
67.8	16.3	551,369,474
69.3	28.1	389,263,497
70.8	29.4	562,369,401
72.4	17.6	239,728,756
73.9	17.3	640,668,900
75.4	13.5	657,259,727
76.9	13.2	540,699,471
78.4	26.4	569,455,459
79.9	10.4	305,453,576
81.5	11.0	611,265,289
83.2	1.7	3,757,513
84.7	0.2	3,957,210
86.4	9.5	481,295,627
87.9	2.4	64,454,799
89.4	3.4	191,658,255
91	8.9	488,474,391
92.5	14.6	654,588,572
94	12.9	472,143,835
95.5	28.5	356,708,781
97	15.6	650,220,428
98.6	35.8	193,828,689
100.1	33.5	387,502,636
101.6	39.5	351,317,213
103.1	47.2	323,817,025
104.7	51.6	193,283,758
106.2	43.3	120,073,412
107.7	38.1	227,316,518
109.3	23.8	36,237,638
110.8	5.3	28,362,597
112.3	25.6	50,011,768
113.8	42.8	255,218,906
115.3	38.3	300,483,398
116.8	51.3	136,320,216
118.3	41.6	152,297,893
119.9	38.5	133,975,911
121.4	52.2	109,831,227
122.9	46.8	162,510,105
124.4	48.1	136,897,747
125.9	20.1	29,331,408
