elapsed_s	cpu_pct	disk_read_bps
1.5	8.8	73,302
3	12.3	907,768
4.6	9.7	24,270
12.9	3.5	1,645,911,697
14.4	7.7	578,062,649
15.9	8.3	559,954,165
17.4	7.9	562,524,246
18.9	8.9	572,847,019
20.5	9.6	574,355,651
22	13.7	546,131,317
23.5	13.3	556,665,442
25	13.9	365,461,509
26.5	21.5	425,201,397
28	22.5	459,565,939
29.5	21.6	223,601,872
31	6.6	270,603,614
32.6	9.0	449,239,357
34.1	14.6	479,552,989
35.6	18.9	316,817,245
37.1	6.1	311,394,235
38.6	7.7	499,694,996
40.2	22.7	425,588,396
41.7	12.7	453,689,052
43.2	13.4	382,915,635
44.7	26.0	563,890,058
46.2	22.1	381,502,083
47.7	12.9	281,763,015
49.3	16.0	546,631,953
50.8	14.0	73,577,919
52.3	12.3	70,085,222
53.8	14.2	451,508,023
55.3	11.8	108,876,858
56.9	3.4	19,802,912
58.5	2.8	28,046,823
60.1	3.8	23,581,015
61.6	1.8	8,274,057
63.1	5.1	13,867,082
64.6	5.9	46,424,568
66.1	26.1	356,016,785
67.6	32.3	440,423,563
69.1	26.4	360,527,679
70.7	30.9	400,686,177
72.2	28.9	398,886,124
73.7	33.7	410,741,955
75.2	28.2	393,283,995
76.7	40.1	115,482,781
78.2	37.8	153,677,546
79.8	54.6	54,102,470
81.3	45.8	111,351,193
82.8	47.6	105,121,546
84.3	46.6	157,622,125
85.8	43.0	205,482,843
87.4	52.0	123,953,080
88.9	43.4	70,388,778
90.4	49.2	31,711,582
91.9	49.1	36,816,690
93.4	52.1	25,191,756
95	49.9	36,396,172
96.5	50.5	85,475,655
98	51.6	224,637,960
99.5	62.7	96,720,219
101	44.7	13,437,271
102.5	50.9	15,029,099
104.1	50.3	19,308,604
105.6	51.9	4,253,912
107.1	51.1	2,774,581
108.6	50.1	4,865,603
110.1	51.9	3,253,412
111.7	51.5	9,306,698
113.2	51.5	3,513,277
114.7	51.4	11,206,881
116.2	51.8	21,485,436
117.7	51.5	5,842,877
119.3	49.6	6,630,059
120.8	43.0	163,352,107
122.3	48.2	111,485,463
123.8	44.6	115,065,325
125.3	27.9	487,750,465
126.8	27.5	175,325,792
128.3	34.6	467,661,521
129.9	30.6	163,189,244
131.4	35.2	110,039,474
132.9	40.8	280,164,175
134.4	31.7	157,288,394
135.9	41.6	207,808,136
137.4	31.8	23,551,457
