elapsed_s	cpu_pct	disk_read_bps
1.5	8.1	56,801
3.1	12.0	1,139,998,975
11.4	11.0	393,898,985
12.9	8.0	564,767,615
14.5	9.9	571,012,528
16	8.2	577,132,147
17.5	10.5	547,618,955
19	12.4	502,697,944
20.5	12.2	558,961,530
22	14.5	390,450,682
23.6	11.1	535,358,623
25.1	23.7	465,953,001
26.6	24.0	253,344,266
28.1	24.8	439,530,716
29.6	17.6	146,198,732
31.1	6.0	213,551,744
32.8	6.6	268,016,993
34.3	11.8	585,954,451
35.8	8.9	199,417,407
37.3	9.2	479,604,410
38.8	15.6	232,659,088
40.4	25.6	413,233,075
41.9	2.0	16,560,953
43.4	1.7	6,592,494
45.1	2.6	2,397,898
46.7	0.1	4,585,142
48.5	0.8	3,362,001
50.1	0.3	4,519,167
51.8	1.7	5,784,911
53.7	5.2	219,658,163
55.2	9.0	584,784,598
56.7	18.4	251,008,872
58.2	6.5	471,551,219
59.7	23.9	564,378,922
61.2	27.2	582,892,546
62.7	31.0	618,329,297
64.3	27.8	500,824,045
65.8	37.8	529,146,094
67.3	26.7	234,832,272
68.8	23.0	280,089,205
70.3	24.9	352,104,294
71.8	35.0	386,005,768
73.3	9.2	53,762,689
74.9	15.0	116,589,316
76.4	5.9	11,320,886
77.9	26.7	376,734,938
79.4	15.6	195,892,188
80.9	16.0	20,323,220
82.4	12.4	137,738,305
83.9	27.8	354,762,933
85.5	33.3	388,249,951
87	30.3	151,316,772
88.5	46.4	243,041,900
90	39.5	232,085,264
91.5	31.6	404,720,692
93	37.1	367,283,936
94.6	55.5	251,939,611
96.1	29.8	140,726,968
97.6	33.6	384,133,028
99.1	44.5	189,645,434
100.6	27.4	31,045,991
102.1	11.7	4,578,068
103.6	14.0	6,064,426
105.1	46.8	164,914,634
106.7	47.7	127,885,805
108.2	49.6	166,866,832
109.7	33.0	306,885,179
111.2	46.0	235,826,467
112.7	25.1	65,551,310
114.2	52.3	127,092,103
115.7	52.3	145,892,555
117.2	49.1	118,075,452
118.8	35.8	170,815,230
120.3	45.7	191,914,601
121.8	55.0	121,717,830
123.3	47.8	119,810,259
124.8	34.1	59,635,358
126.3	52.6	63,191,938
127.9	47.8	69,201,871
129.4	43.8	239,693,333
130.9	51.0	157,047,571
132.4	62.2	69,319,623
133.9	38.8	44,689,867
135.4	56.4	50,738,156
136.9	48.6	30,115,767
138.4	49.7	99,496,744
140	51.3	73,429,972
141.5	51.0	59,204,248
143	50.9	47,187,717
144.5	52.6	77,578,635
146	43.3	178,749,663
147.6	63.2	55,706,112
149.1	49.7	227,981,519
150.6	49.4	114,669,439
152.1	50.5	101,376,024
153.6	49.3	116,136,825
155.1	51.2	36,366,037
156.6	54.8	108,627,090
158.1	59.3	26,745,669
159.7	57.7	11,292,561
161.2	47.2	189,824,891
162.7	54.2	104,691,520
164.2	43.1	159,745,417
165.7	51.4	71,417,467
167.2	56.9	57,145,824
168.7	4.5	5,650,476
170.3	14.8	17,361,360
171.8	45.3	98,696,648
173.3	43.3	297,392,378
174.8	54.0	98,003,233
176.3	57.9	107,902,989
177.9	40.1	32,381,826
179.4	56.6	21,616,440
180.9	61.3	44,538,948
182.4	44.8	133,431,816
183.9	49.2	171,509,928
185.4	49.7	112,014,414
186.9	52.9	86,127,202
188.4	54.9	35,777,797
189.9	16.6	41,006,384
191.5	15.5	7,023,546
193	14.0	7,675,369
194.5	46.4	110,177,550
196	49.7	49,478,858
197.5	56.2	87,960,975
199	46.4	47,876,442
200.6	62.3	40,744,334
202.1	35.0	6,962,590
