elapsed_s	cpu_pct	disk_read_bps
1.6	9.7	0
3.1	11.5	848,322
4.6	10.7	0
6.2	32.7	1,368,369,254
12.8	13.2	4,180,338
14.3	9.5	333,236,960
15.8	9.4	560,534,683
17.4	11.9	530,927,079
18.9	15.0	573,018,588
20.4	23.3	554,082,384
21.9	18.0	346,308,679
23.4	9.3	510,549,587
24.9	16.4	181,853,521
26.4	20.9	427,996,540
27.9	32.7	524,674,483
29.5	30.6	459,099,318
31	31.6	505,441,993
32.5	26.7	368,812,470
34	13.7	348,745,157
35.5	8.3	335,223,755
37	12.2	461,690,121
38.6	12.3	449,646,456
40.1	11.1	566,148,854
41.6	26.1	551,128,587
43.1	24.7	444,427,093
44.6	20.1	414,684,221
46.1	20.9	697,922,046
47.6	36.8	410,241,864
49.1	20.9	433,372,867
50.7	8.7	178,190,121
52.2	12.5	244,627,162
53.7	12.1	297,875,620
55.2	15.5	408,407,290
56.7	20.9	535,493,936
58.2	24.6	622,782,097
59.7	26.3	499,126,224
61.3	23.6	456,364,578
62.8	31.2	582,803,631
64.3	40.9	566,690,396
65.8	42.2	435,445,992
67.3	34.6	427,985,459
69	12.1	9,625,814
70.5	9.8	6,758,347
72.2	2.0	5,343,296
73.8	22.5	363,322,295
75.4	23.6	378,815,992
76.9	1.7	3,243,925
78.4	3.6	4,819,356
79.9	22.8	423,297,619
81.4	19.2	327,988,054
82.9	12.3	270,685,965
84.5	1.2	7,059,316
86	9.4	191,226,359
87.5	20.8	458,810,659
89	22.9	459,679,827
90.5	23.4	450,499,933
92	31.8	540,932,269
93.5	27.6	460,766,491
95	38.5	395,749,754
96.6	29.5	429,568,462
98.1	45.5	236,805,929
99.6	28.1	90,166,938
101.1	26.1	143,809,548
102.6	6.8	12,682,185
104.1	12.0	60,538,254
105.7	33.0	167,971,023
107.2	19.8	321,695,400
108.7	29.2	221,381,762
110.2	27.7	308,226,668
111.7	22.3	298,272,300
113.2	10.8	144,578,344
114.7	3.4	11,144,449
116.3	8.5	210,659,317
117.8	20.7	417,741,234
119.3	24.3	377,713,793
120.8	28.2	436,749,125
122.3	37.7	282,134,246
123.8	60.7	231,101,882
125.3	63.1	305,794,508
126.9	45.3	59,397,044
128.4	47.8	143,624,327
129.9	30.6	249,758,577
131.4	36.2	205,897,059
132.9	7.1	42,951,380
136.2	1.9	13,152,419
137.7	41.6	123,706,627
139.2	50.3	215,696,426
140.7	49.2	143,389,951
142.2	51.3	97,773,318
143.7	9.0	8,225,803
145.3	53.6	216,017,991
146.8	22.3	37,842,006
148.3	32.9	68,052,438
149.8	35.4	37,126,292
151.3	17.3	5,199,415
152.8	49.6	136,619,163
154.4	52.7	98,421,291
155.9	16.4	5,237,119
157.4	48.3	101,368,570
158.9	48.7	146,590,850
160.4	49.4	340,812,672
162	41.9	298,116,232
163.5	45.7	303,702,353
165	44.3	43,348,983
166.5	36.2	238,199,618
168	40.2	238,600,902
169.5	47.2	193,049,919
171	35.1	179,964,726
172.6	38.2	99,076,427
174.1	31.2	53,099,068
175.6	3.4	5,425,931
177.1	12.4	12,009,550
178.6	37.4	174,352,275
180.1	31.1	107,526,155
181.7	38.5	126,920,332
183.2	38.5	285,474,515
184.7	22.8	383,134,224
186.2	19.8	178,869,327
187.7	3.9	75,227,057
189.2	9.0	32,615,834
191.1	12.0	6,155,162
192.6	12.7	46,476,546
194.1	43.4	185,379,105
195.7	39.5	416,415,152
197.2	37.7	177,075,105
198.7	34.3	340,440,557
200.2	66.7	71,146,211
201.7	66.6	44,643,314
203.2	46.9	71,825,121
204.7	35.5	197,523,806
206.3	44.4	113,487,802
207.8	39.4	67,055,591
209.3	45.2	109,111,964
210.8	45.2	178,571,212
212.3	50.5	144,488,525
213.8	40.4	152,960,382
215.3	40.5	192,733,115
216.9	41.1	269,645,222
218.4	48.6	385,607,800
219.9	43.8	417,258,830
221.4	45.4	404,771,491
222.9	44.9	400,560,543
224.4	39.3	278,546,752
225.9	49.5	231,835,378
227.4	38.1	180,874,343
229	10.5	6,726,216
230.5	15.2	34,804,416
232	28.3	204,935,945
233.5	47.3	94,039,625
235	29.8	25,741,896
